	i	j	t
0	163	213	174
1	163	213	543
2	163	213	667
3	163	213	951
4	163	213	1389
5	163	213	1423
6	163	213	2137
7	163	213	2838
8	163	213	2988
9	163	213	3272
10	163	213	3338
11	163	213	3555
12	163	213	3932
13	163	213	4011
14	163	213	4153
15	163	213	4718
16	163	213	4805
17	163	213	4899
18	163	213	4914
19	163	213	5119
20	163	213	5275
21	163	213	5357
22	163	213	5578
23	163	213	6302
24	163	213	6504
25	163	213	6608
26	1	276	130
27	1	276	827
28	1	276	874
29	1	276	949
30	1	276	1287
31	1	276	1303
32	1	276	1395
33	1	276	1552
34	1	276	1585
35	1	276	1951
36	1	276	1965
37	1	276	2109
38	1	276	2186
39	1	276	2370
40	1	276	2680
41	1	276	2775
42	1	276	2912
43	1	276	2930
44	1	276	3157
45	1	276	3308
46	1	276	4486
47	1	276	4666
48	1	276	4698
49	1	276	4717
50	1	276	5473
51	1	276	5572
52	1	276	6113
53	1	276	6170
54	1	276	6957
55	1	276	7081
56	69	104	358
57	69	104	667
58	69	104	1437
59	69	104	1653
60	69	104	1733
61	69	104	1961
62	69	104	2173
63	69	104	2224
64	69	104	2530
65	69	104	2570
66	69	104	2686
67	69	104	2828
68	69	104	2918
69	69	104	2936
70	69	104	3232
71	69	104	3243
72	69	104	3356
73	69	104	3461
74	69	104	3670
75	69	104	4156
76	69	104	5126
77	69	104	5506
78	69	104	5519
79	69	104	5556
80	69	104	5639
81	69	104	5820
82	69	104	6002
83	69	104	6140
84	69	104	6207
85	69	104	6265
86	69	104	6465
87	69	104	7225
88	21	60	368
89	21	60	483
90	21	60	547
91	21	60	752
92	21	60	764
93	21	60	808
94	21	60	830
95	21	60	966
96	21	60	1150
97	21	60	1228
98	21	60	1250
99	21	60	2143
100	21	60	2183
101	21	60	2476
102	21	60	2639
103	21	60	2654
104	21	60	3489
105	21	60	4186
106	21	60	4520
107	21	60	4555
108	21	60	4700
109	21	60	4842
110	21	60	4849
111	21	60	5986
112	21	60	6116
113	21	60	6138
114	21	60	6192
115	21	60	6245
116	21	60	6652
117	21	60	6832
118	21	60	7236
119	4	162	39
120	4	162	373
121	4	162	606
122	4	162	627
123	4	162	673
124	4	162	722
125	4	162	974
126	4	162	989
127	4	162	1036
128	4	162	1309
129	4	162	1459
130	4	162	1482
131	4	162	1638
132	4	162	2201
133	4	162	2547
134	4	162	2904
135	4	162	3454
136	4	162	3776
137	4	162	4147
138	4	162	4324
139	4	162	4832
140	4	162	4864
141	4	162	4879
142	4	162	4979
143	4	162	5348
144	4	162	5463
145	4	162	5547
